key,latitude,longitude,current,sim_start,start,end,command
fire_21889953,46.85543639467479,-120.07984202307114,2018-07-19,20180718_18,2018-07-19,2018-07-26,./setup_wps_wrf.py -b 20180718_18 -c configs/fire_21889953.yaml
fire_23301395,44.38792631787219,-109.85637979305804,2019-09-02,20190901_18,2019-09-02,2019-09-14,./setup_wps_wrf.py -b 20190901_18 -c configs/fire_23301395.yaml
fire_22141327,46.75336355488994,-119.46682003839256,2018-09-06,20180905_18,2018-09-06,2018-09-13,./setup_wps_wrf.py -b 20180905_18 -c configs/fire_22141327.yaml
fire_25138926,37.07484387020188,-116.42118357249794,2021-05-14,20210513_18,2021-05-14,2021-05-27,./setup_wps_wrf.py -b 20210513_18 -c configs/fire_25138926.yaml
fire_23036564,33.40692124761572,-110.30979211085608,2019-07-22,20190721_18,2019-07-22,2019-08-05,./setup_wps_wrf.py -b 20190721_18 -c configs/fire_23036564.yaml
fire_23301095,38.88745328676578,-112.3467012874829,2019-09-07,20190906_18,2019-09-07,2019-09-16,./setup_wps_wrf.py -b 20190906_18 -c configs/fire_23301095.yaml
fire_24332787,34.67678875409553,-118.55788751471395,2020-08-11,20200810_18,2020-08-11,2020-08-24,./setup_wps_wrf.py -b 20200810_18 -c configs/fire_24332787.yaml
fire_25205255,45.45633254741782,-120.96751112702948,2021-06-29,20210628_18,2021-06-29,2021-07-02,./setup_wps_wrf.py -b 20210628_18 -c configs/fire_25205255.yaml
fire_23410616,34.45390030397975,-118.38969197400934,2019-10-19,20191018_18,2019-10-19,2019-10-30,./setup_wps_wrf.py -b 20191018_18 -c configs/fire_23410616.yaml
fire_21890078,41.66823786066859,-116.93599474739574,2018-07-07,20180706_18,2018-07-07,2018-07-10,./setup_wps_wrf.py -b 20180706_18 -c configs/fire_21890078.yaml
fire_25295862,47.19497952558324,-115.52240776868048,2021-07-22,20210721_18,2021-07-22,2021-08-12,./setup_wps_wrf.py -b 20210721_18 -c configs/fire_25295862.yaml
fire_24104640,37.29244846619515,-108.2137952455596,2020-06-13,20200612_18,2020-06-13,2020-06-20,./setup_wps_wrf.py -b 20200612_18 -c configs/fire_24104640.yaml
fire_21748798,34.66746841224316,-112.35466455391644,2018-05-10,20180509_18,2018-05-10,2018-05-13,./setup_wps_wrf.py -b 20180509_18 -c configs/fire_21748798.yaml
